M,h,BPR,Beta_c,-Ia,TSFC,EINOX,EICO
1.3023080763178119,13626.938868896743,0.5217016093344505,3.295234532903446,-722.7051865161422,0.10153205730040776,23.686447323548183,0.15875498785566233
1.304307023776642,11016.618770370565,0.5665617132074144,3.1623280161363985,-709.439166381658,0.10249384671705453,23.243020474493463,0.1372650480800535
1.508469732285938,13367.853196849841,0.10166477642508029,3.05319252765824,-951.0390199127085,0.11036860341106469,33.47031180278497,0.5350623393274183
1.370217815476055,9116.39618378586,0.10180252003318578,6.978806713022057,-855.8504067724841,0.08951093623984532,51.1650624254236,0.20602230719012612
1.3640021179501238,9109.102775098447,0.10122079450732963,3.012733398586411,-948.9815838529719,0.11065895131599113,32.969252451905454,0.40258779455325994
1.3734070172593158,9016.753544299061,0.10018383710256135,7.186948664188405,-854.4602832584573,0.08903720716758017,52.75277122578038,0.21379816098402396
1.3724461882423562,9141.044683908209,0.10067614624504086,4.165414496229072,-924.3279832945681,0.10146623680375212,39.31574921687542,0.30680713455608966
1.3068913182368955,13323.765878293354,0.35592918338492796,4.211304571044769,-768.8614014274985,0.09630182356271802,27.366883387224068,0.1209293613226665
1.5067751975291446,13992.816773548328,0.10000453409693742,3.0000049101013593,-952.5179912635961,0.11090641034821987,33.08517954010716,0.568265363174647
1.5060112506547956,13534.608243096527,0.10008686275510331,3.1342288313455002,-949.3446374435282,0.1095470761947463,33.82859138512447,0.5200363822213642
1.4908063444977335,12372.678335057808,0.10044716486852905,3.4781256922605577,-936.35519572223,0.10619735517663609,34.97305688139152,0.386041744326349
1.4740562595787212,13727.772701449274,0.10298630711298322,3.0034767273857126,-940.8181777445818,0.11020770657942969,31.626617343081676,0.45080131392405737
1.519475014038991,13890.439115821218,0.1001064098566543,3.100455637286461,-954.26393253907,0.11013493328645609,34.24996289008593,0.5902053789773886
1.3034499924096927,11523.637381835144,0.49514691679763617,5.31681002301099,-706.1635147352231,0.09055566306250729,29.400696532090986,0.08900048118570981
1.3848170604014327,9228.050681738776,0.10007624941861461,7.301521349516831,-850.7894181844831,0.08870424177069296,52.90202947281591,0.2083200226724109
1.4879727757109653,13913.628853475087,0.10001152820677009,4.060565560085067,-920.5519362029348,0.10202691206689429,37.65734203067815,0.3741176523553673
1.300084261858653,13181.600249158018,0.45735027426183683,8.998437961204276,-663.2618821452796,0.08096637696216234,37.525395512064705,0.06928978226410264
1.3766568801969385,9007.168569491398,0.10001140365523613,8.737419076551046,-824.5995530177692,0.08511371165161684,58.6570184954834,0.19283515691578798
1.5177725424118622,13581.07057784362,0.10000403124451526,3.7378891103426954,-937.6529101167527,0.10475675254880575,37.67479237471745,0.47329315924959986
1.4945431602825636,12759.850438337335,0.1000128842548831,3.096183084781611,-946.690752202113,0.10967692841705697,33.1049347386158,0.4582850312150795
1.373955726210144,9253.643161050062,0.1000104058111245,3.2890798348278047,-944.1264485890043,0.10794272468514177,34.50463064546764,0.36896792639528586
1.3888577425439022,9211.52067301146,0.10233465868090073,3.148809283830734,-950.8844678095845,0.10959849674412936,34.52079559295874,0.4299134579671848
1.3000187804326528,12612.00209496183,0.5999983275028273,4.4438846492389805,-687.6017301753848,0.09387968975956851,26.500351256702004,0.11362659796593856
1.3040242841667964,11796.416198149414,0.5998677541917392,6.612985064558721,-659.2226281873803,0.08607467962485034,31.772845660124936,0.08087538878396118
1.384698775498008,9218.142566063278,0.10010678956646443,5.68665092840722,-887.4621124686048,0.09411060292693793,46.581608895819016,0.24912876164529976
1.3472471063421585,9106.969956519044,0.1000205959445972,8.75615180761506,-817.0929963217256,0.084561801170834,55.64224812959982,0.15610701662831142
